"Title","Lyrics"
"10s and Up","Intro
Fuck

Chorus: Travis Scott
I only fuck bitches 10s and up
10s and up, 10s and up
I only fuck bitches10sand up
10s andup, 10s up
I only fuck bitches10s and up
10s and up, 10s and up
I only fuck bitches 10s and up
10s and up, 10s and up

Verse 1: Travis Scott
I trade all my Molly, I pop me a freak
I bought me a Vet, I crash every week
Up in the party, you know that we geeked
Lean-lean-lean, we dont wanna sleep
No I do not want your dope, keep that shit away from me
Now that I got all the gas, know that my gas always stink
Hannah Montanna and beans, know that my trap full of fiends
No I do not fuck with twelve, call up the 10s and lets link
Look at your shoes, Margielas are better
Look at your crew, you gotta do better
50s are better, 40s are better
30s are better, 20s are better
Chorus: Travis Scott, Burroughs T
Only fuck bitches 10s and up
10s and up, 10s and up
I only fuck bitches 10s and up
10s and up, 10s up
I only fuck bitches I only fuck bitches 10s and up 10s and up
10s and up 10s and up, 10s and up 10s and up
I only fuck bitches I only fuck bitches 10s and up 10s and up
10s and up 10s and up, 10s and up Yeah, yeah

Verse 2: Burroughs T
She saw my wallet, she started tensin up
I say rub my back, my shit tensin up
I fuck 10s and up, I fucked Tamala
On my camera in her Camry
Is that Travis Scott? He got some hoes for me
With no pantyhose for me, I hit em and go to sleep
She said she know DJ Spinz, she must be a 10
He pass em to me, I pass em back to him
10s and up, back of the truck
She swallow the drugs, she gimme a hug, she know whats up
She wanna fuck, we just met in the club
Now she on my rug Ahaha

Chorus: Travis Scott
I only fuck bitches 10s and up
10s and up, 10s and up
I only fuck bitches 10s and up
10s and up, 10s up
I only fuck bitches 10s and up
10s and up, 10s and up
I only fuck bitches 10s and up
10s and up, 10s and up"
"12 Disciples","Chorus
Im floatin high, dont talk to me
Im rollin high, dont bother me
So follow me, yeah, come and follow me
In the night streets, dim the lights, please

Verse 1
What the fuck they want? Im drunk as hell
Fuck work today, I wanna get some tail
Damn my little nigga graduated, man, I wish him well Now theres no more breaking them pies
And making that bail for them scales
Step across that fence and thats your life
When I run that town, that whip about town size
Four chains, they hang on my neck, was dipped in that brown rice
You think something wrong cause your shit dont shine bright
But aint nothing wrong cause your shit dont shine bright

Chorus
Im floatin high, dont talk to me
Im rollin high, dont bother me
So follow me, yeah, come and follow me
In the night streets, dim the lights, please

Verse 2
It was Friday, what a night, what a situation
My nigga Chase momma called cause he missed that graduation
He told her, Momma please, have a drink, have a little bit patience
Cause soon we would be riding in a car with a little ventilation
Pastor said that we gotta move to congregation
Im looking for salvation, but Im drowning in the revelations
XX revolution, this inauguration to the whole nation
If it aint no head, no sex, then its masturbation
Chorus
Im floatin high, dont talk to me
Im rollin high, dont bother me
So follow me, yeah, come and follow me
In the night streets, dim the lights, please17"
"16 Chapels","Chorus
I dont know about you
Feel like Im floating through the night
Slow move to the groove
Often the feeling feels right
Dance like a 90s baby
Na na na, na na na, na na na, na na
Feel like Im floating through traffic
Then it poof like magic

Verse 1: Travis Scott
This shit be the coldest
Wake up nigga, smell the Folgers
Fuck she throwing up last night
Only if the dumb bitch did what I told her Told her
She feel me, I feel her
And she even let me move my fingers up her skirt
Fuck it live for the moment
Had no bread, now the hoes spread like toast is
Her legs spread like Moses
On my way, raise your glass we can have a toast
To the same ones that love talking that wild shit
Be the same ones who wanna be around the most
Tony said soon enough niggas will have a two-tone
Two blond chicks with the roof gone
Complaining now that her breasts out
Well at least you couldve thought to put the mink on
Chorus
I dont know about you
Feel like Im floating through the night
Slow move to the groove
Often the feeling feels right
Dance like a 90s, baby
Na na na, na na na, na na na, na na
Feel like Im floating through traffic
Then it poof like magic

Verse 2: Travis Scott
Wet dreams with the prom queen
Now Im tryna screw me a centerfold
Every nigga have their wild dreams
Mines is to fly to the summer in my winter clothes
Sin city is a mile away
I see the devil in a skirt, but its a nightgown
Hallelujah, does it even matter if its night or day
When we pull up, she gon pull her shirt down
This where we find em
Same niggas that sniff Donna
And get drunk off the mimosa
Space green or designer
Hermes based off of drama
Call it spendin yoda
Six years catch me trying yoga
In the Caesar Palace rocking a toga
Throwing a toga party
Chilling with your bitch and she extra naughty
Chorus
I dont know about you
I dont know about you
Dance like a 90s, baby
Na na na, na na na, na na na, na na
Feel like Im floating through traffic
Then it poof like magic
I dont know about you
Feel like Im floating through the night
Slow move to the groove
Often the feeling feels right
Na na na, na na na, na na na, na na
Feel like Im floating through traffic
Then it poof like magic18"
"3500","Intro: Future & Travis Scott
Bandana wrapped-wrapped round your head
The bandana wrapped round your head
Fuck niggas, they scared
Aint nobody triller than me
Aint nobody triller than Scott
Aint nobody trill, man, Im takin they spot
Yah, these niggas is scared Ooh

Chorus: Travis Scott
30s in the city movin slow
Thirty-thirty-thirty-five hundred for the coat
Only-only-only real niggas keep you float Keep you float
Only trill niggas I know
Only-only-only trill niggas I know
Only-only-only trill niggas I know
Only trill niggas I know
Only-only-only trill niggas I know

Verse 1: Travis Scott
30s in the city movin slow
Ladies order up the champagne, a whole lot of it Yeah!
Only real niggas keep you float
Painkillers, aint got back pain, know you gotta love it Yeah!
Tens out in NY, they in my hallways, I got a lobby of em
Only trill niggas I know
Up and down with Chase, Monday nights, we made a hobby of it Alright! 30s in the city movin slow
Still down with the same dogs, man, they never loved us
Only real niggas keep you float
Gave my niggas all gold chains to remind me of it Yeah!
Only trill niggas I know
Were still holdin that old thing, tryna rob me of it Oh no!
One time for the trill bitches thatll let me touch it Score!
Thirties in the city movin slow
Im papi though, they get it poppin with me when Im out in public Straight up!
Flyin through, I got a young Yonc with a Iggy on her Yeah!
Only trill niggas I know
Me and Metro do the same drugs, got a lot of it Woo!
All these cups and damn, all these hoes
These niggas up to somethin Oah!
Touch down out in H-Town, there it might get ugly Woo!
Its trill niggas, where its trill niggas, a whole army of em Woo!
Only trill niggas I know
I run the check up, Im a hot nigga, dont turn my countant on me Yeah!
Free Rowdy Rowdy, free Bobby Bobby, them the Shmurda homies, good Lord! Good Lord! Ooh
Chorus: Travis Scott
30s in the city movin slow
Thirty-thirty-thirty-five hundred for the coat
Only-only-only real niggas keep you float Keep you float
Only trill niggas I know
Only-only-only trill niggas I know
Only-only-only trill niggas I know
Only trill niggas I know
Only-only-only trill niggas I know
30s in the city movin slow
Thirty-thirty-thirty-five hundred for the coat
Only-only-only real niggas keep you float Keep you float
Only trill niggas I know
Only-only-only trill niggas I know
Only-only-only trill niggas I know
Only trill niggas I know
Only-only-only trill niggas I know

Verse 2: Future & Travis Scott
Smoke with me, drank with me, lean like Im Clark
Copping a Wraith then I throw it in park
You niggas some marks and you aint got no heart
I know lil one gon come with that A and that R
Only trill niggas I know
I know lil one gon come with that A and that R
Im counting, Im dripping, Im fiending
Im not from this planet, I was abandoned
Trill niggas, real niggas, popping them pill niggas
Stack up a mil, nigga, like its a lil nigga
This for the one who gon load up that K for me
This for the ones that ran off and didnt wait on me
This for the niggas ran off and didnt wait on me
This for you, bitch, you ran off and didnt wait on me
Only trill niggas I know
Hood nigga, fuck all that red carpet shit
Hood nigga, I fuck a red carpet bitch
I put a Rolls and a Royce on my wrist
You can smell promethazine when I piss
I pray to God, he bring me Actavis
Aint nobody triller than Metro, aint nobody triller than Scooter
Hop on the private, I do it, take all the mollies, I do it
The Bentley put up with no mileage, I do it
These Styrofoams with me legitimate
Im proudly downing these Percocets
We just want to be stoners lately, Ive been on, on, on
This money an option, this weed is an option, this lean is an option
Your bitch is an option, her bitch is an option
I send them through auctions
You paying that price for that punani
This gold on my neck is a new Grammy
Chorus: Travis Scott & 2 Chainz
30s in the city movin slow
Thirty-thirty-thirty-five hundred for the coat
Only-only-only real niggas keep you float Keep you float
Only trill niggas I know
Only-only-only trill niggas I know
Only-only-only trill niggas I know
Only trill niggas I know
Only-only-only trill niggas I know
30s in the city movin slow
Thirty-thirty-thirty-five hundred for the coat
Only-only-only real niggas keep you float Keep you float
Only trill niggas I know
Only-only-only trill niggas I know
Only-only-only trill niggas I know Yeahhh
Only trill niggas I know
Only-only-only trill niggas I know 2 Chainz

Verse 3: 2 Chainz & Travis Scott
My bathtub the size of swimming pools
Backstroke to my children room
Maybach in the living room Ooh
I spent racks on these tennis shoes Tell em
Niggas know what Im finna do
Time for me to put the mink up I did
Forgiattos on the Brinks truck
My favorite rapper drove a pink truck Killa
I do shit that you dreamed of
I was born with a mean mug Damn
I was born with some nappy hair
Drinkin breast milk out a lean cup
Tity Bois my alias Yeah
Real niggas my radius Yeah Only trill niggas I
Trill niggas on the song with me
If she bad as hell Ill pay the babysitter I will!
In a black Mercedes with her Skrrt
Doin about 180 with her Skrrt
I was born a hustler, paraphernalia in my baby pictures
Resident, all elegant Elegant
Leather shit in my front yard Swear
TV by my swimming pool Swear
Got that built like a sports bar Ayy
Chevelle with a new motor Err
Got the bitch like a sports car Yeah
Yeah, my name is Tity Boi Oh
I dont fuck with hoes that wear sports bras Nah
Crib bigger than your imagination
Call the trap house the gas station I did
Call mommas house the Jag station Haha
Emoji, sad faces Damn
Look at these niggas Look!
I need to buy pocketbooks for these niggas
Chorus: Travis Scott & 2 Chainz
30s the city movin slow Punkass
Thirty-thirty-thirty-five hundred for the coat 3500
Only-only-only real niggas keep you float Keep you float; Real shit only here
Only trill niggas I know Nah, for real
Only-only-only trill niggas I know Nah, for real
Only-only-only trill niggas I know Nah, for real
Only trill niggas I know
Only-only-only trill niggas I know Ooh
30s in the city movin slow
Thirty-thirty-thirty-five hundred for the coat
Only-only-only real niggas keep you float Keep you float
Only trill niggas I know
Only-only-only trill niggas I know
Only-only-only trill niggas I know
Only trill niggas I know
Only-only-only trill niggas I know

Bridge: Future & Travis Scott
Aint nobody triller than me, aint nobody triller than Scott
Aint nobody trill, man, Im takin their spot, yah, we ride on a yacht, yeah
Aint nobody triller than Metro, aint nobody triller than Scooter, yeah
Aint nobody triller, I knew it, aint nobody triller, we knew it
Pour up in H-Town, them niggas dont play round like Jas and Jr
Only real niggas keep it float
Say fuck all the rumors, say fuck all the rumors
Only trill niggas I know
Say fuck all the rumors, say fuck all the rumors
Only trill niggas I know
Say fuck all the rumors, say fuck all the rumors

Chorus: Travis Scott
30s in the city movin slow
Thirty-thirty-thirty-five hundred for the coat
Only-only-only real niggas keep you float Keep you float
Only trill niggas I know
Only-only-only trill niggas I know
Only-only-only trill niggas I know
Only trill niggas I know
Only-only-only trill niggas I know

Instrumental Outro370"
"3 Wayz (Demo)","Intro
Yeah, yeah
Lean, lean on me
Yeah, yeah, codeine
Yeah, yeah, codeine
Yeah, yeah, codeine
Yeah, yeah

Refrain
One more stop fore the world stop
We gon roll this loud, its prohibited
Makin money moves off the laptop
Codeine, codeine, codeine, no prescriptions here

Pre-Chorus
Its okay, its okay, its alright
We gon go, we gon do what you like, yeah
But we like to party on a weekday
And everything I do, I do it three ways, no

Chorus
Case you didnt know
Case you didnt know
We like to party on a weekday
And everything I do, I do it three ways, no
Verse
Case you didnt know
Niggas out of Hennessy, its dang it, bro
With that lean, lean, lean, lean, lean
Lean turn to a freak, ? is all out of E
? is I got the ?, ? is all, Mr. ?
Servin, rollin in a fiend
? lean-energy, ? got the plea
? on me, and I got the E
Case you didnt know

Chorus
Case you didnt know
Case you didnt know
We like to party on a weekday
And everything I do, I do it three ways, no

Refrain
One more stop fore the world stop
We been blowin loud, its prohibited, yeah
Makin money moves off the laptop, yeah
Codeine, codeine, codeine, no prescriptions here

Pre-Chorus
Its okay, its okay, its alright
We can go, we can do what you like, yeah
But we like to party on a weekday
And everything I do, I do it three ways, no
Chorus
Case you didnt know
Case you didnt know
We like to party on a weekday
And everything I do, I do it three ways

Outro
Yeah, oh, on me
Stylish one me stylish, oh, me
Ride, this on me, roll this OD
Ride it up, plea, fry this OD
Ride in my jeep, ?
What happened to you? It got it into me
We can take your lean, share my Hennessy, yeah
I done felt ?, felt you in my dreams
What that mean?
Mhm-hmm-mhm"
"5% TINT","Chorus
Whos that creeping through my window?
Fore you come outside, I got the M4
Took her to the endzone from the Enzo
Know I love to smoke, you love the liq more
Wanna hit the Jack, then what you call for?
All that out-your-name shit, that aint called for, mm

Verse 1
Who that creepin? Know the tint is dark Five percent
All that fall-in-love shit, gotta Kevin Hart Yeah, yeah
All that speed and fly shit, we might teleport, yeah Skrrt, skrrt
All that cop harass shit, I might clip a sarge, yeah 12
Keep bouncin that ass, you just might get award, yeah
If she bad, she get a pass into the tour Passes, yeah
I pick through the family, grab the bad sister like Janet
Opps outside, dont panic, gotta switch, gotta change up transit
Still jump around, move antsy, and I still dont like shit fancy
Up late feelin real chancy, they outside really tryna end me, yeah

Chorus
Whos that creeping through my window? My window
Fore you come outside, I got the M4 M4
Took her to the endzone from the Enzo Yah
Know I love to smoke, you love to lick more Yah-yah
Wanna hit the Jack, then what you call for? Yah-ah
All that out-your-name shit, that aint called for Yah
Verse 2
Who the fuck is this?
Met somebody baby mama inside of the VIP while Im tryna tip
Shawty said she holding, got a razor in her lip
Mix my cup and twist one up, I love that ratchet shit
She like-like iced out wrists, iced out-iced out wrists Iced out wrists
Fuck dont kiss, fuck, she fuck dont kiss Mwah
Look like friends, but she say they twins Twins
Jump right in, theres legroom in this Benz Legroom in this Benz
Ten miles to the crib, you know thats deep Deep, yeah
I think its someone out there watching me, yeah

Chorus
Whos that creeping through my window? My window, who?
Fore you come outside, I got the M4 M4
Took her to the endzone from the Enzo Yah, yeah!
Know I love to smoke, you love to lick more Lick! Yah-yah
Wanna hit the Jack, then what you call for? Yah-ah, Jack!
All that out-your-name shit, that aint called for Ya-ah

Outro
Whos that creeping through my window? The window
Fore you come outside, I got the M4 M4
Took her to the endzone from the Enzo Yeah
Know I love to smoke, you love to lick more Yeah58"
"90210","Part I

Intro: Travis Scott, Chantel Jeffries & Kacy Hill
Dean, whats poppin? Hahahahaha. Yo, Travis
Mhm, ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh
Mamas mailin out that blow, cravin 9021
Ooh-ooh-ooh-ooh-ooh

Verse 1: Travis Scott & Chantel Jeffries
She a porn star girl, ah, from the valley
Honestly, God bless
Who left her hometown world all for that alley
Ooh, created Lake Tahoe all from her panties
I hope it was wet like my jumper, though
Ooh, used to take the long way home
Long way home, all for that candy Hahahahaha, mhm

Chorus: Kacy Hill
Babys hooked on feeling low-ow
Do, do, do
Do, do

Verse 2: Travis Scott
Jacques turned La Flame, now he rollin on an Addy
Fifty on a chain, nother fifty on a Caddy
Ooh, he might pop him a pill, pop him a seal
Pop anyone, pop anything
Pop anything to find that alley
Mhm, yeah, to find that alley Mhm
Chorus: Kacy Hill
Babys hooked on feeling low-ow
Do, do, do
Do, do

Segue: Travis Scott, Kacy Hill & Chantel Jeffries
In the 90210, 90210, lookin for that alley
In the 90210, 90210, lookin for that alley, ooh
Its the superstar girl, superstar girl, roamin in that alley
Babys hooked on feeling low-ow
Ooh, in the 90210, 90210, somewhere in that alley
Do, do, do
Do, do
Ooh, ahh
I gotta tell ya
Part II

Intro: Travis Scott
Ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh
Ooh-ooh
All, all, all thang, thang
All, all, all thang, thang
Ooh-ooh-ooh-ooh-ooh
All, all, all thang, thang
All, all, all thang, thang
Yeah
Verse 3: Travis Scott
My granny called, she said, Travvy, you work too hard
Im worried you forget about me
All, all, all
Im fallin in and out of clouds
Dont worry, Ima get it, Granny, uh
What happened? Now my daddy happy
Mama called me up, that money comin and she love me
All, all, all thang, thang
I done made it now, I done found lifes meanin now
All, all, all thang, thang
All them days her heartd break, her heart not in pieces now
Friends turnin into fraud niggas
Practicin half the passion, you niggas packaged different
All, all, all thang, thang
All you niggas, you niggas want the swag, you cant have it
All, all, all thang, thang
Ima sell it, your niggas salary, we bout to cap, bitch
Youngest nigga out of Houston at the Grammys
Smilin at em laughin at me
I passed the rock to Ye, he pump faked, then passed it back, bitch
All, all, all thang, thang
All of this off of rappin, shouldve wrote this in Latin, yeah-yeah
All, all, all thang, thang
Mmm, I know, I know, I know, I know, I know
I know, I know, I know, I know, I know
Cuzzo said we in the store, yeah, we bout to drop a four
He passed the cigarette, I choke, woo
Told my auntie, Put them Ports down, them Ports down
Now you know you love your own now
Hit the stage, they got their hands up, dont put your nose down
I aint knockin, nigga, I knocked the door down, for sure now
Whole crew, I swear they countin on me
Gold chains, gold rings, I got an island on me
Houses on me, he got them ounces on him
Holy Father, come save these niggas, Im stylin on em
Good Lord, I see my good fortune in all these horses
Im drivin too fast to stop, so all these signs, I ignore them
Just this guy from north of the border, my chips is in order
My moms biggest supporter, so now a nigga support a nigga
Outro: Travis Scott
Ooh-ooh-ooh-ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh-ooh-ooh-ooh293"
"All I Know (Demo)","Intro: Travis Scott
Yeah
Mustard on the beat, ho
Uhh-uhh

Chorus: Travis Scott
All I know, all I know is this
All I know, all I know is this
All I know, all I know is ballin yeah
All I know, all I know is this, yeah, yeah ooh-ooh
All I know, all I know is this
All I know, all I know is this
All I know, all I know is ballin yeah
All I know, all I know is this, yeah, yeah straight up

Verse 1: Kamaiyah & Travis Scott
Niggas goin out they way to pursue me
Say they wanna work with me
But just wanna get the hoochies, nigga
You just do you, Ima do me yeah, yeah
I got ice, you can skate on it, Kristi Yamaguchi ooh-ooh
I go places that you gotta use a map to go ooh-ooh
Big dog in my city, Im a factor, though ooh-ooh
Everything that Im statin, it is factual ooh-ooh
I can see straight through your clothes caption, go
Just know yeah
I dont need nobody and I never will yeah, yeah
Niggas better chill, Im forever real yeah, yeah
I still hang around with Joey friends with ? still yeah, yeah
These hoes, they wont pay to pay the medic bill
Im the coldest chick to ever fuckin do this shit yah
G5, high flyin, not a stewardess yah, yah
Ballin now just to show em that Im up now yah
Got a rollie on my wrist and its bust down uhh-uhh
Chorus: Travis Scott
All I know, all I know is this
All I know, all I know is this
All I know, all I know is ballin yeah
All I know, all I know is this, yeah, yeah
All I know, all I know is this
All I know, all I know is this
All I know, all I know is ballin yeah
All I know, all I know is this, yeah, yeah straight up

Verse 2: Travis Scott
Bust down, bust down, bust down yeah
Way you take it down, got me up now ooh-ooh
Outta Houston from the Oaktown yay
Way too loud to interrupt now
All I know is how to do it for the set yeah, yeah
All I know is how to get it from the go yah
All I know is how to, and Im the best
All I know is how to, and how to roast
Sti- , still friends, still its lit
Still, still rent still yeah, yeah
Still squad, still friends, still
Still runnin up the bill
Still racking up the hill, still
Still goin after bills, still sheesh
Aint gon lie, you the truth, huh truth
Save some time, hop up in my coupe, uh coupe
Best fam and Im in the roup, uh
Met mans servin in my roof, huh uhh-uhh
Chorus: Travis Scott
All I know, all I know is this
All I know, all I know is this
All I know, all I know is ballin yeah
All I know, all I know is this, yeah, yeah
All I know, all I know is this
All I know, all I know is this
All I know, all I know is ballin yeah
All I know, all I know is this, yeah, yeah straight up2"
"All Year","Intro
All year, all year

Chorus
All year, blood, its poppin over here
All year, cuz, its crackin over here
All year, up at midnight, countin every dollar
Every dollar, every dollar and we countin

Refrain
Aw, we gon get it poppin in the set
Aw, drop it down and break your neck
Yeah, out in Third Ward, right there by the Frenchies
Every summer, I finesse it for a check For a check
Aw, if you real, you know the deal Know the deal
Aw, they know Im the one thats really trill Trill
They know Im the one that pay the bill Bill
Aw, keep a couple gang bangers, throwin sets up
And they down to let it fly when shit get real Shit get real

Instrumental Break

Chorus
All year, blood, its poppin over here Poppin, poppin, poppin
All year, cuz, its crackin over here Crackin, crackin, crackin
All year, up at midnight, countin every dollar
Every dollar, every dollar and we countin
Refrain
Aw, we gon get it poppin in the set
Aw, drop it down and break your neck
Yeah, out in Third Ward, right there by the Frenchies
Every summer, I finesse it for a check For a check
Aw, if you real, you know the deal Know the deal
Aw, they know Im the one thats really trill Trill
They know Im the one that pay the bill Bill
Aw, keep a couple gang bangers, throwin sets up
And they down to let it fly when shit get real Shit get real

Instrumental Break

Bridge
Why these niggas, niggas, niggas hatin, baby, let me know
All these niggas, niggas, niggas hatin, know they want whats more
More
All these niggas, niggas, hatin, hatin, hatin, hatin, hatin
Know they want whats more
Want whats more, baby, know they want whats more, more
Yeah, yeah, yeah, yeah

Chorus
All year, blood, its poppin over here All year
All year, cuz, its crackin over here All year
All year, up at midnight, countin every dollar
Every dollar, every dollar and we countin All year
Refrain
Aw, we gon get it poppin in the set
Aw, drop it down and break your neck
Yeah, out in Third Ward, right there by the Frenchies
Every summer, I finesse it for a check For a check
Aw, if you real, you know the deal Know the deal
Aw, they know Im the one thats really trill Trill
They know Im the one that pay the bill Bill1"
"A man","Intro: Oggizery Los & Travis Scott
Yeah, like
Niggas be actin like act like, a lil d
Ooh, ooh, ooh, ooh
Every side wanna fuck with this, its dirty South
Only dirty South gonna fuck with this
You hear this shit boy?
Fucking up these stages
Fucking a girl up and you know how he rap
Throw this shit up, nigga
Ima, Ima try to drop

Chorus: Travis Scott
People tryna say Im only into me
Got a code with my dawgs, cant get in between
I cant give em life, no more energy
A man, a man

Verse: Travis Scott
Spent bout sixty on the time, I cant even lie
No way in, no way out, this shit do or die
So I roll, when I roll, must be suicide
A man, a man Yeah
I cant rock Benz, I dont do peace Yeah
Ill beast, Ill beast, I gotta eat Its lit
Sabertooth tiger, diamond two-teeth  Straight up
Rocking right now, wont you come peek Alright
P was outside, P was outside P
The way that ass shake, leave your mouth wide
You need to say grace fore you say thanks Yeah
A man, a man Yeah
Whats left in my life? Dont know whats in store
Ive been dealing with these blessings that I cant ignore Ooh-ooh
Putting up the numbers, we aint keeping score
A man, a man
I get on the block, wit it in my sock
Running in the house fore its twelve oclock Yeah
Yeah, the hood love me, but you gotta watch
A man, a man Yeah, yeah
I just popped three, I dont do sleep, yeah
Tryna shoot a scene, make a movie, yeah Straight up
We gon fall through, coming through deep Its lit
A man, a man Yeah
Yeah, packed up from the South, moved into the West
Iced out logo on the cross, threw it on my neck, yeah
When I rep the set, gotta stay blessed, yeah Bling
A man, a man Bling
Chorus: Travis Scott
People tryna say Im only into me
Gotta code with my dawgs, cant get in between
I cant give em life, no more energy
A man, a man

Outro: Travis Scott
Man, fuck what it meant to me
Everybody tryna take that identity
Everybody around me turned to a fr-enemy
Sit back while I sip on the remedy
I cannot let it get into me
Its playing a toll on me, mentally40"
