Title,Lyrics
10s and Up,"3 Contributors10s and Up Lyrics[Intro]
Fuck

[Chorus: Travis Scott]
I only fuck bitches 10s and up
10s and up, 10s and up
I only fuck bitches 10s and up
10s and up, 10s up
I only fuck bitches 10s and up
10s and up, 10s and up
I only fuck bitches 10s and up
10s and up, 10s and up

[Verse 1: Travis Scott]
I trade all my Molly, I pop me a freak
I bought me a 'Vet, I crash every week
Up in the party, you know that we geeked
Lean-lean-lean, we don't wanna sleep
No I do not want your dope, keep that shit away from me
Now that I got all the gas, know that my gas always stink
Hannah Montanna and beans, know that my trap full of fiends
No I do not fuck with twelve, call up the 10s and let's link
Look at your shoes, Margielas are better
Look at your crew, you gotta do better
50s are better, 40s are better
30s are better, 20s are better
See Travis Scott LiveGet tickets as low as $15You might also like[Chorus: Travis Scott, Burroughs T]
Only fuck bitches 10s and up
10s and up, 10s and up
I only fuck bitches 10s and up
10s and up, 10s up
I only fuck bitches (I only fuck bitches) 10s and up (10s and up)
10s and up (10s and up), 10s and up (10s and up)
I only fuck bitches (I only fuck bitches) 10s and up (10s and up)
10s and up (10s and up), 10s and up (Yeah, yeah)

[Verse 2: Burroughs T]
She saw my wallet, she started tensin' up
I say ""rub my back,"" my shit tensin' up
I fuck 10s and up, I fucked Tamala
On my camera in her Camry
Is that Travis Scott? He got some hoes for me
With no pantyhose for me, I hit 'em and go to sleep
She said she know DJ Spinz, she must be a 10
He pass 'em to me, I pass 'em back to him
10s and up, back of the truck
She swallow the drugs, she gimme a hug, she know what's up
She wanna fuck, we just met in the club
Now she on my rug (Ahaha)

[Chorus: Travis Scott]
I only fuck bitches 10s and up
10s and up, 10s and up
I only fuck bitches 10s and up
10s and up, 10s up
I only fuck bitches 10s and up
10s and up, 10s and up
I only fuck bitches 10s and up
10s and up, 10s and upEmbed"
12 Disciples,"31 Contributors12 Disciples Lyrics[Chorus]
I'm floatin' high, don't talk to me
I'm rollin' high, don't bother me
So follow me, yeah, come and follow me
In the night streets, dim the lights, please

[Verse 1]
What the fuck they want? I'm drunk as hell
Fuck work today, I wanna get some tail
Damn my little nigga graduated, man, I wish him well Now there's no more breaking them pies
And making that bail for them scales
Step across that fence and that's your life
When I run that town, that whip about town size
Four chains, they hang on my neck, was dipped in that brown rice
You think something wrong 'cause your shit don't shine bright
But ain't nothing wrong 'cause your shit don't shine bright

[Chorus]
I'm floatin' high, don't talk to me
I'm rollin' high, don't bother me
So follow me, yeah, come and follow me
In the night streets, dim the lights, please

[Verse 2]
It was Friday, what a night, what a situation
My nigga Chase momma called cause he missed that graduation
He told her, ""Momma please, have a drink, have a little bit patience
'Cause soon we would be riding in a car with a little ventilation""
Pastor said that we gotta move to congregation
I'm looking for salvation, but I'm drowning in the revelations
XX revolution, this inauguration to the whole nation
If it ain't no head, no sex, then it's masturbation
See Travis Scott LiveGet tickets as low as $15You might also like[Chorus]
I'm floatin' high, don't talk to me
I'm rollin' high, don't bother me
So follow me, yeah, come and follow me
In the night streets, dim the lights, please17Embed"
16 Chapels,"48 Contributors16 Chapels Lyrics[Chorus]
I don't know about you
Feel like I'm floating through the night
Slow move to the groove
Often the feeling feels right
(Dance like a 90s baby)
Na na na, na na na, na na na, na na
Feel like I'm floating through traffic
(Then it ""poof"" like magic)

[Verse 1: Travis Scott]
This shit be the coldest
Wake up nigga, smell the Folgers
Fuck she throwing up last night
Only if the dumb bitch did what I told her (Told her)
She feel me, I feel her
And she even let me move my fingers up her skirt
Fuck it live for the moment
Had no bread, now the hoes spread like toast is
Her legs spread like Moses
On my way, raise your glass we can have a toast
To the same ones that love talking that wild shit
Be the same ones who wanna be around the most
Tony said soon enough niggas will have a two-tone
Two blond chicks with the roof gone
Complaining now that her breasts out
Well at least you could've thought to put the mink on
See Travis Scott LiveGet tickets as low as $15You might also like[Chorus]
I don't know about you
Feel like I'm floating through the night
Slow move to the groove
Often the feeling feels right
(Dance like a 90s, baby)
Na na na, na na na, na na na, na na
Feel like I'm floating through traffic
(Then it ""poof"" like magic)

[Verse 2: Travis Scott]
Wet dreams with the prom queen
Now I'm tryna screw me a centerfold
Every nigga have their wild dreams
Mines is to fly to the summer in my winter clothes
Sin city is a mile away
I see the devil in a skirt, but it's a nightgown
Hallelujah, does it even matter if it's night or day
When we pull up, she gon' pull her shirt down
This where we find 'em
Same niggas that sniff Donna
And get drunk off the mimosa
Space green or designer
Hermes based off of drama
Call it spendin' yoda
Six years catch me trying yoga
In the Caesar Palace rocking a toga
Throwing a toga party
Chilling with your bitch and she extra naughty
[Chorus]
I don't know about you
I don't know about you
(Dance like a 90s, baby)
Na na na, na na na, na na na, na na
Feel like I'm floating through traffic
(Then it ""poof"" like magic)
I don't know about you
Feel like I'm floating through the night
Slow move to the groove
Often the feeling feels right
Na na na, na na na, na na na, na na
Feel like I'm floating through traffic
(Then it ""poof"" like magic)18Embed"
2019 Grammys Performance,"3 Contributors2019 Grammys Performance Lyrics[Part I - STOP TRYING TO BE GOD]

[Intro: James Blake & Travis Scott]
Yeah
Is it the complex of the saint
That's keepin' you so, so, so still? (Yeah)
Is it a coat of old paint
That's peelin' every day against our will? (Yeah)

[Verse 1: Travis Scott]
Ride for it every night
Visions and these angles tight, yeah
Truth be told, I never try
Diamonds are the wife of life, yeah
All three Rollies look alike, yeah
After two you get a hook-up price
Mama worked a nine-to-five
Delta and I ship it overnight, yeah

[Verse 2: James Blake, Travis Scott & Philip Bailey]
Is it too long since the last
Open conversation you had? Oh, no (Oh)
Stop tryna be God, God
And did you see the void in the past?
And can you ever see it comin' back?
Stop tryna be God, God
See Travis Scott LiveGet tickets as low as $15You might also like[Outro: James Blake & Philip Bailey]
Woah-oh-oh
Woah-oh-oh

[Part II - NO BYSTANDERS]

[Intro: Juice WRLD]
The party never ends
In a motel laying with my sins, yeah
I'm tryna get revenge
You'll be all out of love in the end

[Pre-Chorus: Travis Scott]
Spent ten hours on this flight, man
Told the pilot ain't no flight plans
Can't believe whatever I'm seeing
And they know whenever I land
Yeah, yeah, yeah, yeah

[Chorus: Travis Scott]
Tear the club up, tear the club up
Tear the club up, tear the club up
Tear the club up, tear the club up
Tear the club up, tear the club up (Yeah)

[Post-Chorus: Juice WRLD & Travis Scott]
The party never ends
In a motel laying with my sins, yeah, yeah
I'm tryna get revenge
You'll be all out of love in the end, yeah
[Verse 1: Travis Scott]
Bicentennial man, put the city on slam
She get trippy off Xans, lost 21 grams
And she did it on cam, wasn't no video dance
Make my own rules, I really don't pick, I just choose
I don't set picks, I just shoot
Chop and get screwed
I told her it's B.Y.O.B., that mean buy your own boobs
Put it on God, He the one who put me on top
Can't be put in a box, gotta move on the opps
Never got the move on the drop
Niggas tryna move on the Scott
And move that deep, tryna run down, shit's steep
Gotta act a fool with the squad
Next city, no sleep, back to the 713

[Pre-Chorus: Travis Scott]
Spent ten hours on this flight, man
Told the pilot ain't no flight plans
Can't believe whatever I'm seeing
And they know whenever I land
Yeah, yeah, yeah, yeah

[Chorus: Sheck Wes]
The club up, the club up
The club up, the club up
The club up, the club up
The club up, the club up (Yeah)
[Segue: Juice WRLD]
The party never ends

[Chorus: Sheck Wes & Juice WRLD]
The club up, the club up
The club up, the club up
The club up, the club up
The club up, the club up (Yeah)
The party never ends

[Verse 2: Travis Scott]
Family function, ain't no friends, had a line around my ends
Turned 'em into Ms, why you tryna make amends?
What's that smell? It's heaven's scent
Like I drop shade out the wind
Dodgin' hell and sins, I can't go back there again
Nah, the dawgs ain't civilized, take the one, feel vilified
You can't see my sons, like the light don't hit they side
In the function and I'm fried, this strive is not a drive
When they open wide, it's a riot, riot

[Outro: Sheck Wes]
The club up, the club up
Nah, nah, for real, we walkin' in this ***** heavy
The club up, the club up
The club up, the club up
They know me when they see me, ahhh!
The club up, the club up (Yeah)1Embed"
2step [Eternal Londish Drill Remix Edition],"1 Contributor2step [Eternal Londish Drill Remix Edition] Lyrics2step i could make it back with 2step 2step 2step 2step i could make it back with 2step  2step [Victory] they wanna see me i belive they make it
[Lil Baby]
[smurf]
I´d make it cudz they wanna see me i´d make it you been on a roll i´d it they see it
[Dababy]
Ive been on a drive [let´s go] they want nothing would rat do it cause i did it myself
[Polo G]
Sleeping isn´t awake causing injures playing a game cause i did it i did it playing with your life ain´t fizzing [fizzing]
[Chorus:All]
2step i could make it back it with 2step
[Young Pigga]
Snippy snippy snippy snippy snippy snippy snipp
Got quarelllandos in my bagSee Travis Scott LiveGet tickets as low as $15You might also likeEmbed"
3500,"241 ContributorsTranslationsTravis Scott - 3500 ft. 2 Chainz & Future (Azərbaycan Tərcümə)PortuguêsEspañolSvenska3500 Lyrics[Intro: Future & Travis Scott]
Bandana wrapped-wrapped 'round your head
The bandana wrapped 'round your head
Fuck niggas, they scared
Ain't nobody triller than me
Ain't nobody triller than Scott
Ain't nobody trill, man, I'm takin' they spot
Yah, these niggas is scared (Ooh)

[Chorus: Travis Scott]
30's in the city movin' slow
Thirty-thirty-thirty-five hundred for the coat
Only-only-only real niggas keep you float (Keep you float)
Only trill niggas I know
Only-only-only trill niggas I know
Only-only-only trill niggas I know
Only trill niggas I know
Only-only-only trill niggas I know

[Verse 1: Travis Scott]
(30's in the city movin' slow)
Ladies order up the champagne, a whole lot of it (Yeah!)
(Only real niggas keep you float)
Painkillers, ain't got back pain, know you gotta love it (Yeah!)
Tens out in NY, they in my hallways, I got a lobby of 'em
(Only trill niggas I know)
Up and down with Chase, Monday nights, we made a hobby of it (Alright! 30's in the city movin' slow)
Still down with the same dogs, man, they never loved us
(Only real niggas keep you float)
Gave my niggas all gold chains to remind me of it (Yeah!)
(Only trill niggas I know)
We're still holdin' that old thing, tryna rob me of it (Oh no!)
One time for the trill bitches that'll let me touch it (Score!)
(Thirties in the city movin' slow)
I'm papi though, they get it poppin' with me when I'm out in public (Straight up!)
Flyin' through, I got a young 'Yoncé with a Iggy on her (Yeah!)
(Only trill niggas I know)
Me and Metro do the same drugs, got a lot of it (Woo!)
All these cups and damn, all these hoes
These niggas up to somethin' (Oah!)
Touch down out in H-Town, there it might get ugly (Woo!)
It's trill niggas, where it's trill niggas, a whole army of 'em (Woo!)
(Only trill niggas I know)
I run the check up, I'm a hot nigga, don't turn my 'countant on me (Yeah!)
Free Rowdy Rowdy, free Bobby Bobby, them the Shmurda homies, good Lord! (Good Lord! Ooh)
See Travis Scott LiveGet tickets as low as $15You might also like[Chorus: Travis Scott]
30's in the city movin' slow
Thirty-thirty-thirty-five hundred for the coat
Only-only-only real niggas keep you float (Keep you float)
Only trill niggas I know
Only-only-only trill niggas I know
Only-only-only trill niggas I know
Only trill niggas I know
Only-only-only trill niggas I know
30's in the city movin' slow
Thirty-thirty-thirty-five hundred for the coat
Only-only-only real niggas keep you float (Keep you float)
Only trill niggas I know
Only-only-only trill niggas I know
Only-only-only trill niggas I know
Only trill niggas I know
Only-only-only trill niggas I know

[Verse 2: Future & Travis Scott]
Smoke with me, drank with me, lean like I'm Clark
Copping a Wraith then I throw it in park
You niggas some marks and you ain't got no heart
I know lil' one gon' come with that A and that R
(Only trill niggas I know)
I know lil' one gon' come with that A and that R
I'm counting, I'm dripping, I'm fiending
I'm not from this planet, I was abandoned
Trill niggas, real niggas, popping them pill niggas
Stack up a mil', nigga, like it's a lil' nigga
This for the one who gon' load up that K for me
This for the ones that ran off and didn't wait on me
This for the niggas ran off and didn't wait on me
This for you, bitch, you ran off and didn't wait on me
(Only trill niggas I know)
Hood nigga, fuck all that red carpet shit
Hood nigga, I fuck a red carpet bitch
I put a Rolls and a Royce on my wrist
You can smell promethazine when I piss
I pray to God, he bring me Actavis
Ain't nobody triller than Metro, ain't nobody triller than Scooter
Hop on the private, I do it, take all the mollies, I do it
The Bentley put up with no mileage, I do it
These Styrofoams with me legitimate
I'm proudly downing these Percocets
We just want to be stoners lately, I've been on, on, on
This money an option, this weed is an option, this lean is an option
Your bitch is an option, her bitch is an option
I send them through auctions
You paying that price for that punani
This gold on my neck is a new Grammy
[Chorus: Travis Scott & 2 Chainz]
30's in the city movin' slow
Thirty-thirty-thirty-five hundred for the coat
Only-only-only real niggas keep you float (Keep you float)
Only trill niggas I know
Only-only-only trill niggas I know
Only-only-only trill niggas I know
Only trill niggas I know
Only-only-only trill niggas I know
30's in the city movin' slow
Thirty-thirty-thirty-five hundred for the coat
Only-only-only real niggas keep you float (Keep you float)
Only trill niggas I know
Only-only-only trill niggas I know
Only-only-only trill niggas I know (Yeahhh)
Only trill niggas I know
Only-only-only trill niggas I know (2 Chainz)

[Verse 3: 2 Chainz & Travis Scott]
My bathtub the size of swimming pools
Backstroke to my children room
Maybach in the living room (Ooh)
I spent racks on these tennis shoes (Tell 'em)
Niggas know what I'm finna do
Time for me to put the mink up (I did)
Forgiattos on the Brinks truck
My favorite rapper drove a pink truck (Killa)
I do shit that you dreamed of
I was born with a mean mug (Damn)
I was born with some nappy hair
Drinkin' breast milk out a lean cup
Tity Boi's my alias (Yeah)
Real niggas my radius (Yeah) (Only trill niggas I—)
Trill niggas on the song with me
If she bad as hell I'll pay the babysitter (I will!)
In a black Mercedes with her (Skrrt)
Doin' about 180 with her (Skrrt)
I was born a hustler, paraphernalia in my baby pictures
Resident, all elegant (Elegant)
Leather shit in my front yard (Swear)
TV by my swimming pool (Swear)
Got that built like a sports bar (Ayy)
Chevelle with a new motor (Err)
Got the bitch like a sports car (Yeah)
Yeah, my name is Tity Boi (Oh)
I don't fuck with hoes that wear sports bras (Nah)
Crib bigger than your imagination
Call the trap house the gas station (I did)
Call momma's house the Jag station (Haha)
Emoji, sad faces (Damn)
Look at these niggas (Look!)
I need to buy pocketbooks for these niggas
[Chorus: Travis Scott & 2 Chainz]
30's the city movin' slow (Punkass)
Thirty-thirty-thirty-five hundred for the coat (3500)
Only-only-only real niggas keep you float (Keep you float; Real shit only here)
Only trill niggas I know (Nah, for real)
Only-only-only trill niggas I know (Nah, for real)
Only-only-only trill niggas I know (Nah, for real)
Only trill niggas I know
Only-only-only trill niggas I know (Ooh)
30's in the city movin' slow
Thirty-thirty-thirty-five hundred for the coat
Only-only-only real niggas keep you float (Keep you float)
Only trill niggas I know
Only-only-only trill niggas I know
Only-only-only trill niggas I know
Only trill niggas I know
Only-only-only trill niggas I know

[Bridge: Future & Travis Scott]
Ain't nobody triller than me, ain't nobody triller than Scott
Ain't nobody trill, man, I'm takin' their spot, yah, we ride on a yacht, yeah
Ain't nobody triller than Metro, ain't nobody triller than Scooter, yeah
Ain't nobody triller, I knew it, ain't nobody triller, we knew it
Pour up in H-Town, them niggas don't play 'round like Jas and Jr
(Only real niggas keep it float)
Say fuck all the rumors, say fuck all the rumors
(Only trill niggas I know)
Say fuck all the rumors, say fuck all the rumors
(Only trill niggas I know)
Say fuck all the rumors, say fuck all the rumors

[Chorus: Travis Scott]
30's in the city movin' slow
Thirty-thirty-thirty-five hundred for the coat
Only-only-only real niggas keep you float (Keep you float)
Only trill niggas I know
Only-only-only trill niggas I know
Only-only-only trill niggas I know
Only trill niggas I know
Only-only-only trill niggas I know

[Instrumental Outro]370Embed"
3500 (Chopped & Screwed),"1 Contributor3500 (Chopped & Screwed) Lyrics[Chorus: Travis Scott]
Sundays in the city movin' slow
Thirty-thirty-thirty-five hundred for the coat
Only-only-only real niggas keep you float (Keep you float)
Only trill niggas I know
Only-only-only trill niggas I know
Only-only-only trill niggas I know
Only trill niggas I know
Only-only-only trill niggas I know

[Verse 1: Travis Scott]
(Sundays in the city movin' slow)
Ladies order up the champagne, a whole lot of it
(Sundays in the city movin' slow)
Ladies order up the champagne, a whole lot of it
(Sundays in the city movin' slow)
Ladies order up the champagne, a whole lot of it (Yeah!)
(Only real niggas keep you float)
Painkillers, ain't got back pain, know you gotta love it (Yeah!)
Tens out in NY, they in my hallways, I got a lobby of 'em
(Only trill niggas I know)
Up and Down with Chase, Monday nights, we made a hobby of it (Alright! Sundays in the city movin' slow)
Still down with the same dogs, man, they never loved us
(Only real niggas keep you float)
Gave my niggas all gold chains to remind me of it (Yeah!)
(Only trill niggas I know)
We're still holdin' that old thing, tryna rob me of it (Oh no!)
One time for the trill bitches that'll let me touch it (Score!)
(Sundays in the city movin' slow)
I'm papi though, they get it poppin' with me when I'm out in public (Straight up!)
Flyin' through, I got a young 'Yoncé with a Iggy on her (Yeah!)
(Only trill niggas I know)
Me and Metro do the same drugs, got a lot of it (Woo!)
All these cups and damn, all these hoes
These niggas up to somethin' (Oah!)
All these cups and damn, all these hoes
These niggas up to somethin' (Oah!)
All these cups and damn, all these hoes
These niggas up to somethin' (Oah!)
Touch down out in H-Town, there it might get ugly (Woo!)
It's trill niggas, where it's trill niggas, a whole army of 'em (Woo!)
(Only trill niggas I know)
I run the check up, I'm a hot nigga, don't turn my 'countant on me (Yeah!)
Free Rowdy Rowdy, free Bobby Bobby, them the Shmurda homies
Good lord! (Good lord! Ooh)
See Travis Scott LiveGet tickets as low as $15You might also like[Chorus: Travis Scott]
Sun-sundays in the city movin' slow
Thirty-thirty-thirty-five hundred for the coat
Only-only-only real niggas keep you float (Keep you float)
Only trill niggas I know
Only-only-only trill niggas I know
Only-only-only trill niggas I know
Only trill niggas I know
Only-only-only trill niggas I know
Sun-sundays in the city movin' slow
Thirty-thirty-thirty-five hundred for the coat
Only-only-only real niggas keep you float (Keep you float)
Only trill niggas I know
Only-only-only trill niggas I know
Only-only-only trill niggas I know
Only trill niggas I know
Only-only-only trill niggas I know

[Verse 2: Future & Travis Scott]
Smo-smoke with me, drank with me, lean like I'm Clark
Copping a Wraith then I throw it in park
Smoke with me, drank with me, lean like I'm Clark
Copping a Wraith then I throw it in park
You niggas some marks and you ain't got no heart
I know lil' one gon' come with that A and that R
(Only trill niggas I know)
I know lil' one gon' come with that A and that R
I'm counting, I'm dripping, I'm fiending
I'm not from this planet, I was abandoned
Trill niggas, real niggas, popping them pill niggas
Stack up a mil', nigga like it's a lil' nigga
This for the one who gon' load up that K for me
This for the ones that ran off and didn't wait on me
This for the niggas ran off and didn't wait on me
This for you, bitch, you ran off and didn't wait on me
(Only trill niggas I know)
Hood nigga, fuck all that red carpet shit
Hood nigga, I fuck a red carpet bitch
I put a Rolls and a Royce on my wrist
You can smell promethazine when I piss
I pray to God he bring me Actavis
Ain't nobody triller than Metro, ain't nobody triller than Scooter
Hop on the private, I do it, take all the mollies, I do it
The Bentley put up with no mileage, I do it
These Styrofoams with me legitimate
I'm proudly downing these Percocets
We just want to be stoners lately, I've been on, on, on
This money an option, this weed is an option, this lean is an option
Your bitch is an option, her bitch is an option
I-Embed"
3500 (Demo),"8 Contributors3500 (Demo) Lyrics[Chorus]
Sundays in the city movin' slow
30-30-3500 for the coat
Only-only-only real niggas keep you float, keep you float
Only trill niggas I know
Only-only-only trill niggas I know
Only-only-only trill niggas I know
Only trill niggas I know (Yeah)
Only-only-only trill niggas I know
(Take some of the reverb off)

[Verse]
(Sundays in the city movin' slow)
Ladies order up the champagne, they need a lotta of it
(Only real niggas keep you float)
Uh, addin' up, off a pan-pain, and he got it of it
Uh, odds on, with a hold things, got a lobby of it
(Only trill niggas I know)
Parted up on the halls, ayy, got a hobby of it
(Sundays in the city movin' slow)
All's on with a mon on, with a [?] of it
(Only real niggas keep you float)
Sat in car with a no-name, need to rob me of it
(Only trill niggas I know)
Sat in car with the orders, ayy, with a [?] of it
Uh, how you use in the [?]? Made a [?] of it
(Sundays in the city movin' slow)
Poppy on to get it poppin' with me when they hobby of it
Uh, ridin' through, I got the hoes on with the velasey of it
(Only trill niggas I know)
Uh, me and Metro do the same drugs, we got a lava of it
All the cups, I got the audio, we got a army of it
Uh, what's a God with the whole words and a army of it
Uh, trill niggas, bunch of trill niggas out the [?] of it
(Only trill niggas I know)
Uh, woke asagi of the [?], got a [?]
Uh, whole club, we got the [?], free my Bobby[?]
Damn, good Lord
See Travis Scott LiveGet tickets as low as $15You might also like[Chorus]
Sundays in the city movin' slow
30-30-3500 for the coat
Only-only-only real niggas keep you float, keep you float
Only trill niggas I know
Only-only-only trill niggas I know
Only-only-only trill niggas I know
Only trill niggas I know
Only-only-only trill niggas I know

[Open Verse]
(Sundays in the city movin' slow)
(Only real niggas keep you float)
(Only trill niggas I know)
(Only trill niggas I know)
(Sundays in the city movin' slow)
(Only real niggas keep you float)
(Only trill niggas I know)
(Sundays in the city movin' slow)
(Only trill niggas I know)
(Only trill niggas I know)Embed"
3 Wayz (Demo),"3 Contributors3 Wayz (Demo) Lyrics[Intro]
Yeah, yeah
Lean, lean on me
Yeah, yeah, codeine
Yeah, yeah, codeine
Yeah, yeah, codeine
Yeah, yeah

[Refrain]
One more stop 'fore the world stop
We gon' roll this loud, it's prohibited
Makin' money moves off the laptop
Codeine, codeine, codeine, no prescriptions here

[Pre-Chorus]
It's okay, it's okay, it's alright
We gon' go, we gon' do what you like, yeah
But we like to party on a weekday
And everything I do, I do it three ways, no

[Chorus]
'Case you didn't know
'Case you didn't know
We like to party on a weekday
And everything I do, I do it three ways, no
See Travis Scott LiveGet tickets as low as $15You might also like[Verse]
'Case you didn't know
Niggas out of Hennessy, it's dang it, bro
With that lean, lean, lean, lean, lean
Lean turn to a freak, [?] is all out of E
[?] is I got the [?], [?] is all, Mr. [?]
Servin', rollin' in a fiend
[?] lean-energy, [?] got the plea
[?] on me, and I got the E
'Case you didn't know

[Chorus]
'Case you didn't know
'Case you didn't know
We like to party on a weekday
And everything I do, I do it three ways, no

[Refrain]
One more stop 'fore the world stop
We been blowin' loud, it's prohibited, yeah
Makin' money moves off the laptop, yeah
Codeine, codeine, codeine, no prescriptions here

[Pre-Chorus]
It's okay, it's okay, it's alright
We can go, we can do what you like, yeah
But we like to party on a weekday
And everything I do, I do it three ways, no
[Chorus]
'Case you didn't know
'Case you didn't know
We like to party on a weekday
And everything I do, I do it three ways

[Outro]
Yeah, oh, on me
Stylish one me stylish, oh, me
Ride, this on me, roll this OD
Ride it up, plea, fry this OD
Ride in my jeep, [?]
What happened to you? It got it into me
We can take your lean, share my Hennessy, yeah
I done felt [?], felt you in my dreams
What that mean?
Mhm-hmm-mhmEmbed"
5% TINT,"210 ContributorsTranslationsEspañolРусскийPortuguês5% TINT Lyrics[Chorus]
Who's that creeping through my window?
'Fore you come outside, I got the M4
Took her to the endzone from the Enzo
Know I love to smoke, you love the liq' more
Wanna hit the Jack, then what you call for?
All that out-your-name shit, that ain't called for, mm

[Verse 1]
Who that creepin'? Know the tint is dark (Five percent)
All that fall-in-love shit, gotta Kevin Hart (Yeah, yeah)
All that speed and fly shit, we might teleport, yeah (Skrrt, skrrt)
All that cop harass shit, I might clip a sarge', yeah (12)
Keep bouncin' that ass, you just might get award, yeah
If she bad, she get a pass into the tour (Passes, yeah)
I pick through the family, grab the bad sister like Janet
Opps outside, don't panic, gotta switch, gotta change up transit
Still jump around, move antsy, and I still don't like shit fancy
Up late feelin' real chancy, they outside really tryna end me, yeah

[Chorus]
Who's that creeping through my window? (My window)
'Fore you come outside, I got the M4 (M4)
Took her to the endzone from the Enzo (Yah)
Know I love to smoke, you love to lick more (Yah-yah)
Wanna hit the Jack, then what you call for? (Yah-ah)
All that out-your-name shit, that ain't called for (Yah)
See Travis Scott LiveGet tickets as low as $15You might also like[Verse 2]
Who the fuck is this?
Met somebody baby mama inside of the VIP while I'm tryna tip
Shawty said she holding, got a razor in her lip
Mix my cup and twist one up, I love that ratchet shit
She like-like iced out wrists, iced out-iced out wrists (Iced out wrists)
Fuck don't kiss, fuck, she fuck don't kiss (Mwah)
Look like friends, but she say they twins (Twins)
Jump right in, there's legroom in this Benz (Legroom in this Benz)
Ten miles to the crib, you know that's deep (Deep, yeah)
I think it's someone out there watching me, yeah

[Chorus]
Who's that creeping through my window? (My window, who?)
'Fore you come outside, I got the M4 (M4)
Took her to the endzone from the Enzo (Yah, yeah!)
Know I love to smoke, you love to lick more (Lick! Yah-yah)
Wanna hit the Jack, then what you call for? (Yah-ah, Jack!)
All that out-your-name shit, that ain't called for (Ya-ah)

[Outro]
Who's that creeping through my window? (The window)
'Fore you come outside, I got the M4 (M4)
Took her to the endzone from the Enzo (Yeah)
Know I love to smoke, you love to lick more (Yeah)58Embed"
